#Archive/File	Name	Time	Size	Type
Archive	GSE144778_RAW.tar	04/08/2020 18:18:32	165529600	TAR
File	GSM3730723_JRL001_851091_mogene2st.CEL.gz	04/18/2019 15:50:09	9387112	CEL
File	GSM3730724_JRL002_851092_mogene2st.CEL.gz	04/18/2019 15:50:13	9128679	CEL
File	GSM3730725_JRL003_851093_mogene2st.CEL.gz	04/18/2019 15:50:17	8973392	CEL
File	GSM3730726_JRL004_851094_mogene2st.CEL.gz	04/18/2019 15:50:21	9387832	CEL
File	GSM3730727_JRL005_851095_mogene2st.CEL.gz	04/18/2019 15:50:25	9137411	CEL
File	GSM3730728_JRL006_851096_mogene2st.CEL.gz	04/18/2019 15:50:29	9211678	CEL
File	GSM3730729_JRL007_851097_mogene2st.CEL.gz	04/18/2019 15:50:34	9233009	CEL
File	GSM3730730_JRL008_851098_mogene2st.CEL.gz	04/18/2019 15:50:39	9331131	CEL
File	GSM3730731_JRL009_851099_mogene2st.CEL.gz	04/18/2019 15:50:43	9255360	CEL
File	GSM3730732_JRL100_851100_mogene2st.CEL.gz	04/18/2019 15:50:47	8883744	CEL
File	GSM3730733_JRL110_851101_mogene2st.CEL.gz	04/18/2019 15:50:52	9257051	CEL
File	GSM3730734_JRL120_851102_mogene2st.CEL.gz	04/18/2019 15:50:56	9056988	CEL
File	GSM3730735_JRL130_851103_mogene2st.CEL.gz	04/18/2019 15:51:00	9215158	CEL
File	GSM3730736_JRL140_851104_mogene2st.CEL.gz	04/18/2019 15:51:05	9107207	CEL
File	GSM3730737_JRL150_851105_mogene2st.CEL.gz	04/18/2019 15:51:10	9563978	CEL
File	GSM3730738_JRL160_851106_mogene2st.CEL.gz	04/18/2019 15:51:14	9229044	CEL
File	GSM3730739_JRL170_851107_mogene2st.CEL.gz	04/18/2019 15:51:18	9038797	CEL
File	GSM3730740_JRL180_851108_mogene2st.CEL.gz	04/18/2019 15:51:22	9112070	CEL
